품목ID,예산ID,품목명,용도,최저가,최고가
P001,B001,에어호스,압축공기 전달용 일반 호스,20000,80000
P002,B001,원터치 피팅,공압호스와 장치 연결,3000,20000
P003,B001,에어 커플러,에어라인 탈부착 연결,5000,30000
P004,B001,침투윤활제,고착·녹 발생 체결부 작업 보조,8000,25000
P005,B001,와이어 브러시,녹·오염 제거,3000,15000
P006,B001,수분분리기,압축공기 중 수분 분리,30000,150000
P007,B002,A4 복사용지,문서 출력·복사,20000,35000
P008,B002,바인더,문서 분류·보관,3000,12000
P009,B002,클리어파일,문서 정리,2000,8000
P010,B002,유성펜 세트,표기·기록,5000,20000
P011,B003,유선 마우스,PC 입력장치 교체,8000,30000
P012,B003,키보드,PC 입력장치 교체,15000,50000
P013,B003,USB 메모리,일반 데이터 이동·저장,10000,40000
P014,B003,토너 카트리지,프린터 출력 소모품,40000,180000
P015,B004,실리콘 실란트,틈새·접합부 경미 보수,5000,15000
P016,B004,실리콘 건,실란트 도포 작업,5000,20000
P017,B004,테프론 테이프,나사식 배관 연결부 누수 보조,1000,5000
P018,B004,LED 전구,일반 조명 교체용,5000,25000
P019,B005,작업용 장갑,일반 정비·작업 시 손 보호,3000,20000
P020,B005,보안경,비산물로부터 눈 보호,5000,30000
P021,B005,미끄럼주의 표지,작업구역 위험 표시,10000,40000
P022,B006,다목적 세정제,일반 오염 제거,5000,20000
P023,B006,극세사 걸레,표면 청소,3000,15000
P024,B006,종량·폐기용 봉투류,폐기물 수거 보조,5000,30000
P025,B007,지퍼백,소형 부품 분류·보관,3000,20000
P026,B007,라벨 스티커,보관물품 식별,3000,15000
P027,B007,방습제,포장 내부 습기 관리,5000,30000
P028,B007,골판지 박스,일반 포장·분류,1000,10000
P029,B008,화이트보드 마커,교육 중 판서,5000,20000
P030,B008,컬러 라벨,교육자료·실습물 표시,3000,15000
