문제ID,사용자표현,문제키워드,증상설명,추천품목,확인사항,관련예산ID
Q001,에어호스를 연결하고 싶어요,"에어호스,호스,연결,에어",공압호스 연결부품이 필요한 상황,"에어호스, 원터치 피팅, 에어 커플러",호스 외경·나사 규격·사용 압력을 먼저 확인하세요.,B001
Q002,컴프레서에서 물이 나와요,"컴프레서,물,수분,에어",압축공기 라인에 수분이 섞이는 상황,"수분분리기, 드레인 관련 부속, 에어호스",장비 자체 고장 여부와 배수 상태를 먼저 확인하세요.,B001
Q003,볼트가 녹슬어서 안 풀려요,"볼트,녹,안풀려,고착",체결부가 녹이나 오염으로 고착된 상황,"침투윤활제, 와이어 브러시",과도한 힘을 주기 전에 손상 여부와 올바른 공구 규격을 확인하세요.,B001
Q004,프린터 글씨가 흐려요,"프린터,흐려,토너,인쇄",인쇄 품질이 저하된 상황,토너 카트리지,토너 잔량과 프린터 자체 진단을 먼저 확인하세요.,B003
Q005,마우스가 자꾸 끊겨요,"마우스,끊겨,컴퓨터,PC",입력장치 연결이 불안정한 상황,유선 마우스,USB 포트 문제인지 마우스 문제인지 교차 확인하세요.,B003
Q006,문서 정리가 너무 안돼요,"문서,정리,파일,바인더",행정문서를 분류·보관해야 하는 상황,"바인더, 클리어파일, 라벨 스티커",보존기간과 문서보안 기준을 먼저 확인하세요.,B002
Q007,세면대 연결부에서 조금 새요,"세면대,누수,배관,새요",나사식 연결부 등에서 경미한 누수가 의심되는 상황,테프론 테이프,지속 누수나 배관 손상은 시설 담당 확인이 우선입니다.,B004
Q008,틈새로 바람이 들어와요,"틈새,바람,실리콘,창문",접합부의 경미한 틈새 보수가 필요한 상황,"실리콘 실란트, 실리콘 건",구조적 균열인지 단순 틈새인지 먼저 확인하세요.,B004
Q009,작업할 때 쇳가루가 튀어요,"쇳가루,튀어,눈,작업",비산물로부터 눈 보호가 필요한 상황,"보안경, 작업용 장갑",작업 종류에 맞는 인증 보호구가 필요한지 확인하세요.,B005
Q010,부품을 종류별로 나눠 보관하고 싶어요,"부품,보관,분류,지퍼백",소형 부품을 분류·식별해야 하는 상황,"지퍼백, 라벨 스티커, 방습제",습기 민감 부품인지 확인하세요.,B007
Q011,창고 물건에 이름표 붙이고 싶어요,"창고,이름표,라벨,표시",보관물품 식별 표시가 필요한 상황,"라벨 스티커, 컬러 라벨",보안상 외부 노출이 제한되는 정보는 기재하지 마세요.,B007
Q012,교육할 때 쓸 마커가 필요해요,"교육,마커,화이트보드",교육 진행 중 판서 소모품이 필요한 상황,화이트보드 마커,교육 목적과 실제 예산 분류를 확인하세요.,B008
